Id,Label,timeset,popularity,followers,genres
46Uf9zkJa5k4T9T0cLNBGb,Bon Y Los Enemigos Del Silencio,,25,3988,rock en espanol
02Nbktg6lCJiazPM6YYTMz,Miguel Mateos,,55,141760,latin alternative;latin arena pop;latin pop;latin rock;rock en espanol
7LPSpoCg3XmYjYtdZxFodd,QBO,,40,27673,latin alternative;latin metal;rock en espanol
5lSJ2p4XexDs3wyYhH7c7L,Plastiko,,43,24031,argentine reggae;latin alternative;latin rock;mexican indie;rock en espanol
29AMdFTZ4Ahs3fFXIq8Dic,Resorte,,39,33792,latin alternative;latin metal;mexican indie;rock en espanol
32u70gnkFTJfjlbDhH9Ew8,Pito Perez,,39,14217,latin alternative;mexican indie;rock en espanol
0tqpmKIKOBpH3PESt3W93v,Los Odio!,,32,9384,latin alternative;latin rock;mexican indie;rock en espanol
13wFTN72PGSUxzEHJP5Ljs,Los Caligaris,,65,209114,latin alternative;latin rock;rock en espanol
0052sLPmKyG6ou86BEhYjt,La Tremenda Korte,,44,51267,argentine reggae;latin alternative;latin rock;mexican indie;rock en espanol
1xOtUH3e7hrO0nJesm68Ea,Salon Victoria,,51,109349,argentine reggae;latin alternative;latin rock;mexican indie;rock en espanol
7IyBMp52r2T01C39t27vrE,Maskatesta,,46,49170,argentine reggae;latin alternative;latin rock;rock en espanol
50lv7gkWdpupWhAB0iGOfe,El Personal,,26,5528,latin alternative
2qzYtiwABDEql4L7JpZ59Y,Ángeles Del Infierno,,46,121295,latin metal;rock en espanol
632M26jlmnCrL8CqD5i7Kd,Rata Blanca,,57,403059,argentine rock;latin metal;rock en espanol
4wrHdTaFAi56czZLNuZlfK,Nana Pancha,,42,52740,argentine reggae;latin alternative;rock en espanol
7LXdYckhvHWU4ejXbkHa3N,Pepe Quintana,,65,238191,latin;latin hip hop;reggaeton;reggaeton flow;trap latino;tropical
6w9ToX5slZ4uIdmD17hJ3c,Bryant Myers,,79,948332,latin;latin hip hop;reggaeton;reggaeton flow;trap latino;tropical
5lFhCi03HDneWzvCxGctrT,Jory Boy,,70,322328,latin;latin hip hop;reggaeton;reggaeton flow;trap latino;tropical
0qTZZWLzuD59Un5r1speHm,Chris Jeday,,76,118263,latin;latin hip hop;reggaeton;reggaeton flow;trap latino;tropical
3YXpTiyVmYCfANOlnWv6vr,Trebol Clan,,59,252746,latin;latin hip hop;reggaeton;reggaeton flow;trap latino;tropical
6XFITTl7cFTdopDY3lUdlY,J Alvarez,,72,1563806,latin;latin hip hop;reggaeton;reggaeton flow;trap latino;tropical
2ydZrTy8U3kOMOzx20s3dg,DJ Nelson,,64,172243,latin;latin hip hop;reggaeton;reggaeton flow;trap latino;tropical
4DYFVNKZ1uixa6SQTvzQwJ,Ken-Y,,63,208141,latin;latin hip hop;pop reggaeton;reggaeton;reggaeton flow;trap latino;tropical
3EiLUeyEcA6fbRPSHkG5kb,De La Ghetto,,82,1406395,latin;latin hip hop;reggaeton;reggaeton flow;trap latino;tropical
77GVmrLGuxNEvj2ibvT62v,Luigi 21 Plus,,66,160138,latin;latin hip hop;reggaeton;reggaeton flow;trap latino;tropical
14zUHaJZo1mnYtn6IBRaRP,Justin Quiles,,74,453002,latin;latin hip hop;reggaeton;reggaeton flow;trap latino;tropical
3IEvQoAohcGX7CdrbtIle7,Baby Rasta & Gringo,,62,650433,latin;latin hip hop;reggaeton;reggaeton flow;trap latino;tropical
2R21vXR83lH98kGeO99Y66,Anuel Aa,,78,1507946,latin;latin hip hop;reggaeton;reggaeton flow;trap latino;tropical
00me4Ke1LsvMxt5kydlMyU,Cosculluela,,77,1299219,latin;latin hip hop;reggaeton;reggaeton flow;tropical
1fctva4kpRbg2k3v7kwRuS,Rvssian,,72,166516,reggaeton;reggaeton flow;trap latino
4SsVbpTthjScTS7U2hmr1X,Arcangel,,85,2035848,latin;latin christmas;latin hip hop;reggaeton;trap latino;tropical
3RtNN1VnooWEn3KQk03DUL,Noriel,,80,652106,latin;reggaeton;reggaeton flow;trap latino;tropical
4IMAo2UQchVFyPH24PAjUs,Jowell & Randy,,75,829723,latin;latin hip hop;reggaeton;reggaeton flow;tropical
2wkoKEfS6dXwThbyTnZWFU,Mau y Ricky,,72,41747,
1i8SpTcr7yvPOmcqrbnVXY,Ozuna,,95,5532545,reggaeton;trap latino
4q3ewBCX7sLwd24euuV69X,Bad Bunny,,95,4052814,reggaeton;trap latino
3HPOnbuwLP2qlwWQ7cgxYW,Xantos,,63,51688,reggaeton
1VrWc8r4AjrR8YfT0vlsc7,Chyno Miranda,,59,132455,pop reggaeton
4GAS1OgXh8D5pEA6s6eBNW,Valentino,,68,20241,reggaeton
7c34Wg8HcWO9BWhHLwiXsr,Xcelencia,,44,5873,latin hip hop;reggaeton
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,,95,6826682,latin;reggaeton
2OnKRchqP7tT0FzTvWIFI7,Wolfine,,78,161916,latin;reggaeton;tropical
4bw2Am3p9ji3mYsXNXtQcd,Piso 21,,82,961319,latin;reggaeton
329e4yvIujISKGKz1BZZbO,Farruko,,85,3282518,latin;latin hip hop;reggaeton;trap latino;tropical
2bxxlINUlcMQQb39K7IopR,Abraham Mateo,,72,361295,latin;latin arena pop;latin pop;reggaeton;spanish pop
2cy1zPcrFcXAJTP0APWewL,Gente De Zona,,77,804275,latin;latin hip hop;latin pop;pop;reggaeton;tropical
3LKXWvXFWrkwUzJWxzwVpW,Tony Dize,,65,833249,latin;latin hip hop;latin pop;pop;reggaeton;reggaeton flow;relaxative;trap latino;tropical
5dbaLmK5SHLLg8Z4CcTJpX,Greeicy,,68,106592,latin;latin pop;pop reggaeton
0AspLZGQkP38yddNoD0pLn,Mario Bautista,,60,407539,mexican pop;reggaeton
1phfTBIocBW3UwqcYjaEN6,Mike Bahía,,63,286752,colombian pop;latin;latin pop;pop reggaeton;reggaeton;tropical
6wBGoSXRW9KedGG0UC7cGl,Angeles,,54,4129,latin;reggaeton
4uRH0vTYaGWjG1MK8K8RPE,Dragon & Caballero,,50,66380,latin;pop reggaeton;reggaeton;vallenato
0nqpXa8bkBlWgS9FKhNCuj,Golpe a Golpe,,48,63128,reggaeton
2xmhyxkjpGNBeWXVMeVWHb,Rayo & Toby,,50,26989,pop reggaeton;reggaeton;reggaeton flow
6tYuW96NhiYI3sAxEDsqK4,Pasabordo,,60,114361,latin;pop reggaeton;reggaeton;vallenato
1ykothWH0xl8drRyJWuw7I,Ñejo & Dalmata,,59,170400,latin;latin hip hop;reggaeton;reggaeton flow;trap latino;tropical
0BkX3f2WgeqNgvulzPLc7R,Yelsid,,47,43309,reggaeton
3jGlU8UMMo44I2xeLQ6FD3,Dalmata,,75,169384,latin;latin hip hop;reggaeton;reggaeton flow;tropical
4RXxwBtdt6k1YNyyAyiOng,Pipe Bueno,,55,109914,reggaeton;vallenato
7Cqqd8uYKo6L22O2W344CP,L'Omy,,45,9749,pop reggaeton;reggaeton;vallenato
2ny2IhV61AbrsaWpjvGM7m,José de Rico,,50,221898,electro latino
1ackd5XprZEkH3McKbQD51,Juan Magán,,82,845749,electro latino;latin;latin pop;pop;reggaeton;tropical
6EiZOxfG8B5evnLH4KnJeF,Dyland & Lenny,,52,248818,electro latino;latin;latin hip hop;pop reggaeton;reggaeton;tropical
30HlKUFTsqlFQsPfyv2yuM,Danny Romero,,60,153940,electro latino;spanish pop
5NS0854TqZQVoRmJKSWtFZ,Chino & Nacho,,69,879280,electro latino;latin;latin hip hop;latin pop;pop;pop reggaeton;reggaeton;tropical
6CSa1r92LtHHdLG6kRabU3,Efecto Pasillo,,60,241737,latin arena pop;latin pop;rock en espanol;spanish pop
2CbZTubQz6tdFmZ3TDUwp7,Xriz,,57,87650,electro latino;spanish pop
2CuCsdkFmzrW5R1NLUreGU,Critika y Saik,,45,69951,
7gR53ad9JjCweCv4f9MWEX,Eddy Lover,,56,79655,latin;latin hip hop;reggaeton;tropical
2Q1HJnngR9v11eyzvEgSPb,Comando Tiburon,,43,14912,
5F73ZVq8ivLhsYF2pGg4Fc,Makano,,51,121032,latin;latin hip hop;reggaeton;tropical
28K94oD0TzsajWXpoiCMLq,Joy Montana,,9,13299,
7npqy7rgdX2D3yfVyWExKo,Angel Y Khriz,,61,268923,latin;latin hip hop;pop reggaeton;reggaeton;reggaeton flow;tropical
4gaipGwvI72oJZVL2P0WJd,Nigga,,49,92980,latin;latin hip hop;reggaeton;tropical
7tU1VKOuxiNZwBZC6RHidA,Alexis y Fido,,73,1218493,latin;latin hip hop;pop;reggaeton;reggaeton flow;trap latino;tropical
1NRrKr08wLdYUdSOnNDs7M,Latin Fresh,,46,20355,latin;latin hip hop;reggaeton
5fJsY7afrbsyzJj9wdzJMh,"Tito ""El Bambino""",,69,802639,latin;latin christmas;latin hip hop;latin pop;pop;reggaeton;reggaeton flow;trap latino;tropical
6x87eYql5aUn7gBRe1KEKb,Chapa C,,47,26311,cumbia villera;latin;latin hip hop;reggaeton;tropical
13VwGEitoK8J0qjNjbgeTN,Flex,,51,61714,bachata;latin;latin hip hop;reggaeton;tropical
3sc8HnadkPW5YaIGbCljw4,El Roockie,,54,26026,latin;latin hip hop;reggaeton;tropical
5ClJtuiNlr83ua45Dvpcf7,Santiago Cruz,,58,200525,latin;latin pop;pop reggaeton;reggaeton;vallenato
7rNbdH4pgrnwguvzxhA2Ek,Jorge Celedón,,57,279480,cumbia;latin;latin pop;merengue;reggaeton;salsa;tropical;vallenato
7i3ucpl9nZqSaCH4ufVOB4,Gusi & Beto,,42,32420,pop reggaeton;vallenato
1JzCCMAjM3FCr9eM3jp0uH,Kaleth Morales,,50,174372,merengue;vallenato
3OcvS8PzSGYMBvLdzY6g3e,Silvestre Dangond,,69,460700,latin;pop reggaeton;reggaeton;tropical;vallenato
6dexNK5MjEL8UvmA5MjSgg,Felipe Peláez,,64,160091,merengue;vallenato
5u4ozdMUTJLCJPYkFVoy0o,Adriana Lucia,,41,49757,vallenato
33ScadVnbm2X8kkUqOkC6Z,Don Omar,,78,2628601,latin;latin hip hop;pop;reggaeton;tropical
6BeO1KuAWBqFriL1mLHtNc,Leslie Grace,,76,114710,bachata;latin;tropical
5p1D7KgsRRcS9gpQyRARrL,Peter Manjarrés,,51,100146,cumbia;merengue;vallenato
66NweiA3nU84k1S3SZdTSG,Diomedes Diaz,,55,230782,cumbia;merengue;panamanian pop;salsa;tropical;vallenato
2PfyKA4qhjkxUVkerTCxz0,Juan Pablo Vega,,53,38569,colombian rock;latin rock
1SupJlEpv7RS2tPNRaHViT,Nicky Jam,,88,4714874,latin;latin hip hop;pop;reggaeton;tropical
2OHKEe204spO7G7NcbeO2o,Ñejo,,69,460838,latin;latin hip hop;reggaeton;reggaeton flow;trap latino;tropical
1wZtkThiXbVNtj6hee6dz9,Wisin & Yandel,,75,1801533,electro latino;latin;latin hip hop;pop;reggaeton;trap latino;tropical
